date,location,country,summary_of_case,drone_category,drone_model,drone_manufacturer,payload_type,control_method,mission_type,gangs_involved,link_to_other_criminal_activity,procurement_method,supply_chain_origin,ukraine_link,ukraine_link_classification,verification_status,evidence_quality,platform_source,url_primary_source,url_all_sources,row_note
2025-10-28,"Complexo da Penha & Alemão, Rio de Janeiro",Brazil,Drones dropped explosives on police during major security operation; videos and police confirm armed drone use; at least 54 dead; military advisor later arrested,commercial COTS,DJI (model unspecified),DJI,explosives,unknown,attack (explosive drop),Comando Vermelho,rival gang warfare; drug trafficking,not specified,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,YouTube; G1; Folha; O Globo,https://www1.folha.uol.com.br/internacional/en/brazil/2025/10/operation-against-comando-vermelho-leaves-at-least-54-dead-barricades-and-drone-delivered-bombs-in-rio-de-janeiro.shtml,https://www1.folha.uol.com.br/internacional/en/brazil/2025/10/operation-against-comando-vermelho-leaves-at-least-54-dead-barricades-and-drone-delivered-bombs-in-rio-de-janeiro.shtml;https://oglobo.globo.com/rio/noticia/2025/10/28/uso-de-drones-com-explosivos-contra-a-policia-do-rio-marca-escalada-em-poder-belico-de-faccoes.ghtml;https://g1.globo.com/fantastico/noticia/2025/10/29/drones-bomba-no-rio-cv-dominou-tecnologia-com-ajuda-de-militar-da-marinha-mostrou-fantastico.ghtml;https://www.youtube.com/watch?v=jjAcTJjpWb0,same date/location as row 2 (distinct incident — row 2 is surveillance operation); URL reconstructed from truncated source: original 'ps://g1.globo.com/fantastico/...' reconstructed to 'https://g1.globo.com/fantastico/noticia/2025/10/29/drones-bomba-no-rio-cv-dominou-tecnologia-com-ajuda-de-militar-da-marinha-mostrou-fantastico.ghtml'
2025-10-28,"Complexo da Penha & Alemão, Rio de Janeiro",Brazil,Drones used for real-time surveillance of police movements during the same megaoperation; distinct from explosive attack row,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Comando Vermelho,rival gang warfare; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,YouTube,https://www.youtube.com/watch?v=3gjPLqMfKIc,https://www.youtube.com/watch?v=3gjPLqMfKIc,same date/location as row 1 (distinct incident — row 1 is explosive attack)
2025-07-26,"Jardim Bangu, Rio de Janeiro",Brazil,Drone used for surveillance to plan attack on rival militiamen; police obtained drone footage,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Comando Vermelho,rival gang warfare; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/07/28/trafico-usou-drone-antes-de-ataque-a-milicianos.ghtml,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/07/28/trafico-usou-drone-antes-de-ataque-a-milicianos.ghtml,URL reconstructed from truncated source: original '://g1.globo.com/rj/...' reconstructed to 'https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/07/28/trafico-usou-drone-antes-de-ataque-a-milicianos.ghtml'
2025-09-15,"Bangu, Rio de Janeiro",Brazil,Drone tracked suspected rival; police registered overflight in official records,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Comando Vermelho,rival gang warfare; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/10/21/comando-vermelho-drone-emboscadas.ghtml,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/10/21/comando-vermelho-drone-emboscadas.ghtml,URL reconstructed from truncated source: original 'tps://g1.globo.com/rj/...' reconstructed to 'https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/10/21/comando-vermelho-drone-emboscadas.ghtml'
2024-07-09,"Quitungo, Rio de Janeiro",Brazil,Drone (DJI; 46-min autonomy; 15 km range) launched grenades in favela; technical details and police seizure documented,commercial COTS,DJI (model unspecified),DJI,explosives,unknown,attack (explosive drop),Comando Vermelho,rival gang warfare; drug trafficking,not specified,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/07/09/como-funciona-drone-que-lancou-granada-em-favela-do-rio.ghtml,https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/07/09/como-funciona-drone-que-lancou-granada-em-favela-do-rio.ghtml,None
2023-10-09,"Maré; Vila Cruzeiro; Cidade de Deus, Rio de Janeiro",Brazil,Drones used for facial and licence plate recognition by traffickers for surveillance during police operation; dual use by state and criminal actors noted,commercial COTS,Unknown,Unknown,surveillance,GPS waypoint/autonomous,surveillance/ISR,Comando Vermelho,rival gang warfare; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/10/09/forcas-de-seguranca-usam-drones-no-reconhecimento-facial-e-de-placas-de-veiculos.ghtml,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/10/09/forcas-de-seguranca-usam-drones-no-reconhecimento-facial-e-de-placas-de-veiculos.ghtml,None
2025-06-05,"Rocinha, Rio de Janeiro",Brazil,Drone used for escape surveillance by Ceará cell of Comando Vermelho; joint police/government operation,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Comando Vermelho,rival gang warfare; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/06/05/traficantes-ceara-identificados-drone-fuga-rocinha.ghtml,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/06/05/traficantes-ceara-identificados-drone-fuga-rocinha.ghtml,URL reconstructed from truncated source: original 'ttps://g1.globo.com/rj/...' reconstructed to 'https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/06/05/traficantes-ceara-identificados-drone-fuga-rocinha.ghtml'
2025-02-20,Rio de Janeiro,Brazil,Comando Vermelho deployed FPV drones for real-time surveillance during favela shootout,commercial COTS,DJI FPV,DJI,surveillance,FPV manual,surveillance/ISR,Comando Vermelho,rival gang warfare; drug trafficking,legal retail,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,BBC,https://bbc.com/mundo/noticias-america-latina-60512345,https://bbc.com/mundo/noticias-america-latina-60512345,model inferred from Table 2 entry (DJI FPV listed explicitly)
2025-10-30,Rio de Janeiro,Brazil,Ex-Brazilian Navy advisor 'Mota' arrested after coordinating drone acquisition and adapting Ukraine war-derived drone tactics for Comando Vermelho; interlocutor Edgar Alves de Andrade 'Doca' also identified,commercial COTS,Unknown,Unknown,explosives,unknown,attack (explosive drop),Comando Vermelho,rival gang warfare; drug trafficking,battlefield adaptation (Ukraine),Unknown,TRUE,Confirmed,VERIFIED,Confirmed,UOL Notícias; G1; Folha de S.Paulo,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/10/30/militar-da-marinha-acusado-de-levar-drones-ao-cv-vai-para-presidio-federal.htm,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/10/30/militar-da-marinha-acusado-de-levar-drones-ao-cv-vai-para-presidio-federal.htm;https://g1.globo.com/fantastico/noticia/2025/10/29/drones-bomba-no-rio-cv-dominou-tecnologia-com-ajuda-de-militar-da-marinha-mostrou-fantastico.ghtml;https://www1.folha.uol.com.br/cotidiano/2025/10/uso-de-drones-por-faccoes-pode-transformar-conflito-urbano-em-batalha-aerea-diz-pesquisador.shtml,prose-only case — no dedicated table row in source; arrest linked to row 1 explosive attack; ukraine_link TRUE based on row-level Ukraine reference (Mota shared Ukraine war drone videos and coordinated adaptation)
2026-02-11,"El Paso, Texas",United States,El Paso airport temporarily closed after suspected cartel drone incursion into US airspace; prompted political and law enforcement response,unknown,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Unspecified Mexican cartel(s),drug trafficking; arms trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,Twitter/X; Reuters; AP,https://www.reuters.com/world/us/cartel-drones-become-flashpoint-between-us-mexico-2026-02-12/,https://www.reuters.com/world/us/cartel-drones-become-flashpoint-between-us-mexico-2026-02-12/;https://apnews.com/article/drones-carteles-mexico-eeuu-espacio-aereo-el-paso-39781505ae52177bd20d39868aeea3de,None
